scheduler;safe_oracles;use_case;use_idlesim;unsafe_oracles;taskset_file;taskset_position;U;Uv;nbt;EDFVD_test;probability_of_HI;min_period;max_period;timeout;is_safe;automaton_depth;visited_count;duration_ns
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;6;0.5;0.4964646464646465;5.0;1.0;0.5;5.0;50.0;False;True;45;720;2402241
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;14;0.5;0.4968434343434343;5.0;1.0;0.5;5.0;50.0;False;True;25;1643;12875123
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;8;0.5;0.500217322999581;5.0;1.0;0.5;5.0;50.0;False;True;19;2933;11046202
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;9;0.5;0.5044722434428317;5.0;1.0;0.5;5.0;50.0;False;True;12;1856;15297483
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;19;0.5;0.498493908585094;5.0;1.0;0.5;5.0;50.0;False;True;38;1850;5571011
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;20;0.5;0.5015010351966873;5.0;1.0;0.5;5.0;50.0;False;True;29;696;5915420
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;1;0.5;0.4971931862175764;5.0;1.0;0.5;5.0;50.0;False;True;31;10118;60282124
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;0;0.5;0.4965538847117794;5.0;1.0;0.5;5.0;50.0;False;True;23;9905;61764155
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;11;0.5;0.4990079365079365;5.0;1.0;0.5;5.0;50.0;False;True;9;8966;63573785
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;12;0.5;0.5028509876335964;5.0;1.0;0.5;5.0;50.0;False;True;52;29980;145171023
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;22;0.5;0.4996020108923334;5.0;1.0;0.5;5.0;50.0;False;True;33;16770;91121791
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;5;0.5;0.4985441798283795;5.0;1.0;0.5;5.0;50.0;False;True;20;21013;155624356
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;26;0.5;0.4977129927632079;5.0;1.0;0.5;5.0;50.0;False;True;28;707;5839872
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;25;0.5;0.4958333333333332;5.0;1.0;0.5;5.0;50.0;False;True;20;3198;25091486
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;29;0.5;0.5047619047619047;5.0;1.0;0.5;5.0;50.0;False;True;7;666;5429831
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;28;0.5;0.5028950115906637;5.0;1.0;0.5;5.0;50.0;False;True;8;4291;30778618
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;30;0.5;0.4980419799498747;5.0;1.0;0.5;5.0;50.0;False;True;15;681;3595911
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;13;0.5;0.500870258650579;5.0;1.0;0.5;5.0;50.0;False;True;21;31458;230088133
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;24;0.5;0.5017287851595488;5.0;1.0;0.5;5.0;50.0;False;True;17;34016;192153165
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;23;0.5;0.5036075036075036;5.0;1.0;0.5;5.0;50.0;False;True;22;38626;237213355
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;35;0.5;0.5013736263736264;5.0;1.0;0.5;5.0;50.0;False;True;14;887;4323222
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;10;0.5;0.4953211833932657;5.0;1.0;0.5;5.0;50.0;False;True;22;44786;315661674
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;4;0.5;0.5042786556963127;5.0;1.0;0.5;5.0;50.0;False;True;33;47223;321038574
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;38;0.5;0.4972249972249972;5.0;1.0;0.5;5.0;50.0;False;True;14;1820;9410492
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;17;0.5;0.5010909627008698;5.0;1.0;0.5;5.0;50.0;False;True;16;46850;312161003
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;37;0.5;0.496095571095571;5.0;1.0;0.5;5.0;50.0;False;True;11;8900;37433069
