scheduler;safe_oracles;use_case;use_idlesim;unsafe_oracles;taskset_file;taskset_position;U;Uv;nbt;EDFVD_test;timeout;is_safe;automaton_depth;visited_count;duration_ns
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;3;0.3;0.295;5.0;1.0;False;True;101;790;2836362
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;13;0.3;0.295;5.0;1.0;False;True;101;1921;5415404
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;12;0.3;0.3;5.0;1.0;False;True;101;799;2319242
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;6;0.3;0.3;5.0;1.0;False;True;22;1756;7070575
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;4;0.3;0.295;5.0;1.0;False;True;11;4193;14607490
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;16;0.3;0.295;5.0;1.0;False;True;21;4322;17058553
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;17;0.3;0.295;5.0;1.0;False;True;11;824;8545656
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;14;0.3;0.3;5.0;1.0;False;True;22;9235;37791987
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;21;0.4;0.4049999999999999;5.0;1.0;False;True;21;4385;23848217
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;22;0.4;0.4;5.0;1.0;False;True;11;4323;29597770
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;23;0.4;0.4;5.0;1.0;False;True;21;9473;34850604
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;0;0.3;0.295;5.0;1.0;False;True;16;29295;120527984
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;25;0.4;0.4;5.0;1.0;False;True;11;8366;52577487
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;18;0.3;0.295;5.0;1.0;False;True;11;26363;109020956
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;15;0.3;0.295;5.0;1.0;False;True;23;32044;147695143
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;24;0.4;0.4;5.0;1.0;False;True;30;22669;70341289
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;28;0.4;0.4;5.0;1.0;False;True;12;678;2979292
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;26;0.4;0.4;5.0;1.0;False;True;21;7019;44986752
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;30;0.4;0.4;5.0;1.0;False;True;11;2008;15178100
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;32;0.4;0.4;5.0;1.0;False;True;102;4483;26395968
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;7;0.3;0.3;5.0;1.0;False;True;102;38986;224998997
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;31;0.4;0.4049999999999999;5.0;1.0;False;True;21;8643;52339586
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;9;0.3;0.3;5.0;1.0;False;True;12;51912;267607167
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;34;0.4;0.4;5.0;1.0;False;True;32;29934;161844873
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;39;0.4;0.4;5.0;1.0;False;True;21;1813;16064592
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;35;0.4;0.4049999999999999;5.0;1.0;False;True;12;28446;168703387
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;27;0.4;0.4;5.0;1.0;False;True;57;75185;548196332
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;42;0.5;0.5;5.0;1.0;False;True;21;691;5846624
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;43;0.5;0.5;5.0;1.0;False;True;11;4287;27406059
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;33;0.4;0.3950000000000001;5.0;1.0;False;True;22;80617;640065676
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;2;0.3;0.3;5.0;1.0;False;True;21;132889;897581386
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;46;0.5;0.5;5.0;1.0;False;True;101;45725;133703913
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;47;0.5;0.5;5.0;1.0;False;True;13;1946;6309294
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;38;0.4;0.4049999999999999;5.0;1.0;False;True;65;293899;1195639263
edfvd;[];ACBFS, no oracle;True;[];outputs/20260406_154058-harmonic.txt;49;0.5;0.5;5.0;1.0;False;True;21;3073;11780539
