use_idlesim;safe_oracles;unsafe_oracles;use_case;scheduler;taskset_file;taskset_position;U;Uv;nbt;EDFVD_test;probability_of_HI;min_period;max_period;timeout;is_safe;automaton_depth;visited_count;duration_ns
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;13;0.5;0.4956996434937611;5.0;1.0;0.5;5.0;30.0;False;True;9;670;2039153
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;3;0.5;0.499537037037037;5.0;1.0;0.5;5.0;30.0;False;True;9;1806;4865734
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;7;0.5;0.4992002063983488;5.0;1.0;0.5;5.0;30.0;False;True;12;16631;54375036
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;4;0.5;0.4978906175996969;5.0;1.0;0.5;5.0;30.0;False;True;21;8424;27549928
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;2;0.5;0.4973484848484849;5.0;1.0;0.5;5.0;30.0;False;True;23;8483;27461480
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;12;0.5;0.4988095238095238;5.0;1.0;0.5;5.0;30.0;False;True;17;4251;12326474
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;21;0.5;0.5035054870754667;5.0;1.0;0.5;5.0;30.0;False;True;14;2347;6351014
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;6;0.5;0.496329365079365;5.0;1.0;0.5;5.0;30.0;False;True;17;1857;5824221
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;0;0.5;0.5025983426084846;5.0;1.0;0.5;5.0;30.0;False;True;21;17980;65696824
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;11;0.5;0.5005952380952381;5.0;1.0;0.5;5.0;30.0;False;True;16;677;2152881
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;37;0.5;0.5041666666666667;5.0;1.0;0.5;5.0;30.0;False;True;7;667;2589945
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;9;0.5;0.5001685247601764;5.0;1.0;0.5;5.0;30.0;False;True;11;4705;15352353
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;20;0.5;0.4964447317388494;5.0;1.0;0.5;5.0;30.0;False;True;13;677;3389795
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;36;0.5;0.4982456140350877;5.0;1.0;0.5;5.0;30.0;False;True;11;738;4011536
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;33;0.5;0.4966121640034683;5.0;1.0;0.5;5.0;30.0;False;True;27;1839;7227512
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;57;0.5;0.4958333333333333;5.0;1.0;0.5;5.0;30.0;False;True;10;671;3607042
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;44;0.5;0.4997766122766122;5.0;1.0;0.5;5.0;30.0;False;True;9;4228;19132852
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;16;0.5;0.5022873178795217;5.0;1.0;0.5;5.0;30.0;False;True;31;10571;41472431
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;35;0.5;0.4959381211649813;5.0;1.0;0.5;5.0;30.0;False;True;22;691;3874788
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;22;0.5;0.5033166248955722;5.0;1.0;0.5;5.0;30.0;False;True;20;8434;30319991
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;34;0.5;0.4962812549769071;5.0;1.0;0.5;5.0;30.0;False;True;9;2109;10657486
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;51;0.5;0.5045179257135779;5.0;1.0;0.5;5.0;30.0;False;True;14;1924;9249655
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;28;0.5;0.4952256077256077;5.0;1.0;0.5;5.0;30.0;False;True;30;1845;9116647
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;1;0.5;0.4986606007773055;5.0;1.0;0.5;5.0;30.0;False;True;23;46523;225580997
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;40;0.5;0.5044953848833159;5.0;1.0;0.5;5.0;30.0;False;True;17;3213;18572049
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;32;0.5;0.4997354497354497;5.0;1.0;0.5;5.0;30.0;False;True;11;5059;28475196
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;25;0.5;0.5018939393939393;5.0;1.0;0.5;5.0;30.0;False;True;10;707;3789379
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;19;0.5;0.503653049848702;5.0;1.0;0.5;5.0;30.0;False;True;23;4317;25304049
